Cliente,NOM_MUN,LAT_DEC,LON_DEC,MU,SIGMA
1,Abasolo,27.181944,-101.426389,40.671311775241335,10.983742871140311
2,Abasolo,27.181944,-101.426389,113.98972475547933,30.784200755197137
3,Acacoyagua,15.340965,-92.674617,22.85249235747678,6.1715712885371925
4,Acajete,19.10494,-97.952715,53.79379089801773,14.527615203387642
5,Acajete,19.10494,-97.952715,49.88934496759456,13.473175887758172
6,Acatepec,17.325219,-98.910334,0,0
7,Acayucan,17.948823,-94.913871,76.3591916429634,20.621654189305023
8,Aconchi,29.825963,-110.228498,20.773470596730622,5.610108197065373
9,Acteopan,18.76502,-98.715291,27.3981095558861,7.399166080017579
10,Actopan,20.269047,-98.942901,75.87352833176493,20.49049537737317
11,Acula,18.506031,-95.774584,0,0
12,Agua Blanca de Iturbide,20.349504,-98.356386,55.15986848764496,14.89653974335359
13,Agua Dulce,18.138272,-94.147239,70.76329762871107,19.11042039074048
14,Agua Prieta,31.327815,-109.546351,3.930762661571854,1.0615464433696196
15,Agualeguas,26.310915,-99.539389,69.6867040817194,18.81967425591618
16,Aguascalientes,21.879823,-102.296047,30.419748777776093,8.215193565091122
17,Aguililla,18.734231,-102.78838,7.289734528185903,1.9686743840214431
18,Ahuacuotzingo,17.714089,-98.934908,28.46513338246008,7.687327804754555
19,Ahualulco de Mercado,20.700556,-103.975,3.930762661571854,1.0615464433696196
20,Ahuatlán,18.573011,-98.25523,22.73287085225548,6.139266162445603
21,Ahuazotepec,20.046047,-98.162348,3.789609285410722,1.0234263945815445
22,Ahuehuetitla,18.210768,-98.221355,4.220246704207395,1.1397248485112654
23,Akil,20.267053,-89.346826,18.967185867889018,5.122300793082376
24,Alaquines,22.127894,-99.600389,79.25881692952767,21.404730445765143
25,Alcozauca de Guerrero,17.463524,-98.383888,23.067811066875116,6.229720515502053
26,Aldama,16.917818,-92.688192,106.39615160403133,28.73347135090306
27,Alfajayucan,20.409971,-99.349589,7.749081108235687,2.092726068213145
28,Almoloya,19.703333,-98.403333,5.911694788036549,1.596519331446336
29,Almoloya del Río,19.159386,-99.488842,59.23417695548237,15.996852338033118
30,Alpatláhuac,19.119951,-97.093152,101.1040962130411,27.304292572611153
31,Altamira,22.391553,-97.936687,16.13454862424868,4.357315407233545
32,Altar,30.713339,-111.833572,48.57829327036914,13.119111705794355
33,Altepexi,18.366767,-97.29918,14.804357486187845,3.9980824050950736
34,Altotonga,19.766149,-97.245526,66.0932740648716,17.84922826812484
35,Álvaro Obregón,19.390806,-99.195413,51.82242849197074,13.995226725398254
36,Amacueca,20.010556,-103.596111,49.85106608592375,13.462838247408865
37,Amacuzac,18.600002,-99.369514,74.80411207508652,20.20168755011436
38,Amatenango de la Frontera,15.435011,-92.115158,24.476952398382004,6.610274900860972
39,Amatitán,20.835,-103.73,43.04938729904074,11.625968777841106
40,Amatitlán,18.432344,-95.733279,50.688416622472836,13.688974130049989
41,Amatlán de Cañas,20.807782,-104.405389,64.35397737895391,17.379511734753134
42,Amatlán de los Reyes,18.847578,-96.915484,86.51027257604275,23.363067189437277
43,Amaxac de Guerrero,19.350286,-98.169569,58.64324671968916,15.837265015140668
44,Amealco de Bonfil,20.186444,-100.144195,75.92376936395786,20.504063530331635
45,Ameca,20.548611,-104.043056,26.993788868238116,7.289974753828009
46,Amixtlán,20.049437,-97.798917,98.4126123455619,26.577427235550395
47,Anáhuac,27.240647,-100.132436,48.2242136149141,13.023488532563253
48,Angostura,25.36436,-108.159489,58.071455924731346,15.68284651242287
49,Antiguo Morelos,22.54942,-99.083617,42.15222600988101,11.383680332154187
50,Apaseo el Grande,20.545284,-100.688217,119.43011081294397,32.253437889842616
51,Aporo,19.670836,-100.411128,17.87623774027078,4.827678043127083
52,Apozol,21.470877,-103.09119,113.3318064767622,30.6065225616934
53,Aquila,18.599139,-103.504754,14.727799722846216,3.9774071243964566
54,Aquila,18.599139,-103.504754,12.923907424109041,3.4902458229352926
55,Aquismón,21.621362,-99.019535,88.00554139130897,23.76688126558214
56,Aramberri,24.100586,-99.818067,73.91652050634448,19.96198351451477
57,Arandas,20.705556,-102.340278,17.333156106566086,4.681012770671269
58,Arivechi,28.928645,-109.187092,18.424104234184323,4.975635520626562
59,Arizpe,30.336232,-110.166809,86.92416298410843,23.474842925714174
60,Armadillo de los Infante,22.243591,-100.654675,54.96608164918645,14.844205439085215
61,Arriaga,16.236065,-93.899473,66.73205290275332,18.021737641453925
62,Arteaga,25.450621,-100.849623,111.03028871630443,29.984971935691224
63,Arteaga,25.450621,-100.849623,27.218677298054157,7.350708390880197
64,Ascensión,31.092176,-107.995949,26.22342637461296,7.081929741798175
65,Asientos,22.238317,-102.089275,69.37808059824845,18.736327030599877
66,Astacinga,18.56683,-97.102076,15.034030776212738,4.060108247190925
67,Asunción Cacalotepec,17.035264,-95.956562,98.24035737804323,26.53090785397851
68,Asunción Cuyotepeji,17.930901,-97.674353,59.72940998709854,16.130595560052296
69,Asunción Ixtaltepec,16.50384,-95.057045,52.171723287216935,14.089557693585695
70,Asunción Nochixtlán,17.458936,-97.225199,74.7849726342511,20.196518729939704
71,Asunción Ocotlán,16.759179,-96.721326,12.517194306356627,3.380408394223889
72,Asunción Tlacolulita,16.300263,-95.726305,110.36280071716956,29.804709332100153
73,Atemajac de Brizuela,20.139444,-103.724444,18.902590255069516,5.104856024992918
74,Atempan,19.8399,-97.459279,67.5861504500334,18.252396241747874
75,Atenango del Río,18.104343,-99.107803,14.057919293606945,3.7964984182835573
