plant,fixed_cost,auxiliary_flag
1,5237756,
2,9698021,
3,3400993,
4,7053802,
5,1293754,
6,6384352,
7,9319480,
8,11298799,
9,1674228,
10,10047202,
11,6033562,
12,6932497,
13,1643896,
14,6178249,
15,3442656,
16,7686208,
17,7429615,
18,11600189,
19,1555072,
20,3639802,
21,6869242,
22,6241353,
23,8780707,
24,2504855,
25,4658112,
26,3151266,
27,6878018,
28,9738376,
29,5414921,
30,873300,
31,92429,
32,22291,
33,8782339,
34,6984332,
35,313555,
36,42941,
37,2117855,
38,7619988,
39,4648127,
40,382280,
41,7867330,
42,8445512,
43,7398495,
44,3559229,
45,12108200,
46,10123878,
47,762888,
48,5826132,
49,2874330,
50,7099237,
51,3005718,
52,3516277,
53,5234939,
54,4783962,
55,3700917,
56,1722074,
57,2985855,
58,12377155,
59,11127766,
60,7042904,
61,130528,
62,7088873,
63,10861052,
64,4155827,
65,259444,
66,1558207,
67,1807262,
68,6404759,
69,10627677,
70,1462001,
71,9412869,
72,8842128,
73,8146207,
74,1732322,
75,5790168,
76,3400484,
77,8722879,
78,3749218,
79,10038408,
80,9074933,
81,4690808,
82,1616318,
83,6307638,
84,6149807,
85,3749646,
86,6915786,
87,8149501,
88,10688488,
89,2456575,
90,3239540,
91,9478473,
92,10361457,
93,4329559,
94,5981414,
95,3839633,
96,7714634,
97,5401407,
98,8181583,
99,184920,
100,6070960,
