plant,fixed_cost,auxiliary_flag
1,902669,0
2,103772,1
3,618236,0
4,261739,0
5,1478051,0
6,517226,0
7,1555550,0
8,380702,1
9,1491193,0
10,445759,0
11,2876213,0
12,1978516,0
13,1828672,0
14,1726345,0
15,2451781,0
16,1272193,0
17,1984820,0
18,787510,0
19,411461,1
20,717762,0
21,1339040,0
22,1994148,0
23,2886909,0
24,1962877,0
25,2058630,0
26,580350,0
27,1360869,0
28,1537866,0
29,888215,0
30,1726478,0
31,75378,1
32,2891127,0
33,680436,0
34,153421,0
35,1388842,0
36,88902,1
37,491086,0
38,86098,1
39,316522,0
40,1859394,0
41,484829,0
42,59194,0
43,1164731,0
44,295421,1
45,515730,0
46,1423535,0
47,1363235,0
48,494963,1
49,735212,0
50,1752163,0
