market,mu,sd
1,8496,2148
2,9633,1922
3,9138,2614
4,7092,1860
5,9492,2717
6,7907,1669
7,9220,1937
8,9464,1506
9,7901,801
10,6301,1579
11,5567,1288
12,9004,2339
13,9930,1582
14,9521,2810
15,8816,1995
16,7927,1991
17,6360,1030
18,5262,655
19,8444,1533
20,7176,1085
21,9826,1481
22,6514,867
23,5082,1503
24,9863,1282
25,6836,1775
26,6930,1313
27,8201,2287
28,8556,1441
29,9653,1566
30,9914,1351
31,7575,1932
32,6248,823
33,8356,1063
34,9442,1278
35,9064,1200
36,7584,1399
37,8661,1813
38,7025,908
39,8771,1793
40,5954,1663
41,9612,1351
42,8217,838
43,5609,796
44,9106,2688
45,8649,2396
46,6056,1016
47,8510,2098
48,7569,968
49,8177,875
50,5793,1237
51,8135,2110
52,6583,910
53,9273,1745
54,5655,577
55,7024,1841
56,5992,1583
57,9542,2477
58,9740,1384
59,8408,2312
60,7280,1687
61,8640,1348
62,6832,1881
63,8738,2370
64,8984,2586
65,5607,741
66,5604,641
67,6789,1061
68,7921,1943
69,8178,2067
70,5433,1492
71,5626,696
72,5341,1149
73,6761,685
74,9114,1779
75,8780,1982
76,7503,1908
77,5553,1372
78,8958,1814
79,9934,1049
80,9548,1431
81,6953,1789
82,5095,939
83,9827,2488
84,7805,1275
85,9921,2263
86,6473,1299
87,9457,2322
88,8250,1539
89,6579,1374
90,5983,951
91,5942,1378
92,6638,842
93,8259,1496
94,7582,2110
95,8265,1977
96,5703,772
97,5770,1403
98,5406,564
99,5246,674
100,9449,2690
101,7508,1023
102,8195,845
103,5560,696
104,6767,1883
105,5036,541
106,8926,1167
107,5832,681
108,9792,2430
109,7519,1709
110,7525,1415
111,5186,959
112,5550,1580
113,7713,1291
114,5924,1527
115,8791,1826
116,8607,2498
117,5452,1271
118,7048,2065
119,8964,1257
120,7443,2200
121,7714,879
122,9337,1168
123,8902,918
124,7311,820
125,8267,1464
126,8936,1148
127,7455,1515
128,8001,2291
129,7511,933
130,9665,2604
131,6082,1422
132,9323,1670
133,9949,1719
134,9845,1704
135,7843,1369
136,9888,2539
137,6655,1529
138,8787,1582
139,5640,1377
140,8278,2039
141,7407,1353
142,8146,1168
143,8000,1882
144,8931,2209
145,6927,1791
146,8673,2431
147,7379,1929
148,5534,1471
149,9684,2055
150,9584,2859
151,7901,2180
152,5088,1276
153,8117,1843
154,7649,2060
155,8924,2237
156,8191,1954
157,8436,1740
158,5971,1632
159,5446,1469
160,9588,1679
161,9637,1389
162,9204,2082
163,6459,944
164,6360,1546
165,6486,1302
166,6862,1536
167,6042,1347
168,9374,2573
169,6834,1068
170,9485,1777
171,8159,2262
172,5842,1159
173,7741,1773
174,6426,1687
175,5689,591
176,5010,1313
177,7967,2189
178,9737,1626
179,9108,1583
180,8830,987
181,8853,2475
182,6249,1695
183,5538,1106
184,8614,2492
185,6709,1469
186,8440,969
187,5985,1207
188,7010,1336
189,9984,2970
190,6589,1438
191,6042,1413
192,7129,1877
193,9491,1154
194,8904,1933
195,9596,1610
196,6473,1033
197,5531,603
198,8981,1059
199,5466,1144
200,9796,2346
201,7650,2001
202,7044,1470
203,8953,2547
204,5740,1011
205,8020,1045
