plant,capacity
1,2261404
2,3136891
3,2504537
4,1284160
5,1536069
6,3430357
7,2886273
8,1523926
9,2848946
10,2196536
11,102410
12,1362266
13,3112274
14,237519
15,1989003
16,832219
17,3241435
18,2495773
19,1055081
20,3729208
21,1567254
22,1656352
23,2154365
24,701233
25,2002186
26,1679017
27,636159
28,415085
29,364193
30,916078
31,3436856
32,579856
33,2515796
34,277983
35,1969359
36,1589161
37,509748
38,260065
39,3374013
40,329386
41,1786998
42,2934005
43,1938315
44,2634021
45,3453746
46,3424020
47,2113560
48,1891059
49,1630093
50,389972
51,1033974
52,268738
53,1077239
54,2297218
55,3111093
56,398108
57,2386216
58,3088594
59,146768
60,2786312
61,2950282
62,3513006
63,703142
64,646896
65,3188193
66,3769681
67,1124362
68,3396337
69,2948059
70,1345062
71,485062
72,1763431
73,1953841
74,673005
75,3463305
76,1956640
77,188028
78,1936707
79,1993420
80,1629765
81,3481839
82,3594563
83,3743867
84,1763073
85,1618707
86,1567136
87,2943636
88,2509164
89,3722733
90,1627012
91,2445643
92,2704720
93,1969706
94,366114
95,1940801
96,2030627
97,1683397
98,3309791
99,489854
100,2265676
