market,mu,sd
1,5328,1319
2,5286,1510
3,6718,823
4,9670,2435
5,9241,2135
6,7577,1454
7,7079,1182
8,7408,1706
9,6848,1860
10,8393,1588
11,8359,986
12,8237,1416
13,5031,521
14,9096,961
15,9825,1852
16,6528,1648
17,8478,1253
18,9849,2040
19,6824,1664
20,6587,1441
21,5480,560
22,7234,803
23,6454,1883
24,9762,2617
25,5366,1049
26,6992,1227
27,7116,1798
28,8952,1061
29,5600,683
30,7987,1312
31,9679,2777
32,5498,1546
33,5478,1628
34,9429,2322
35,7136,743
36,8870,1459
37,8660,2460
38,5453,821
39,8862,1215
40,8021,1950
41,5974,666
42,8581,1467
43,6558,1940
44,7576,2047
45,5364,849
46,8552,1048
47,7285,1393
48,6025,1160
49,6997,2024
50,5647,773
51,9726,2436
52,7214,1392
53,7368,1555
54,5603,1310
55,6489,877
56,8041,1436
57,5215,1356
58,6599,1668
59,9301,2005
60,6025,1447
61,8234,1530
62,6285,1161
63,7455,1205
64,8570,1097
65,6459,1638
66,5949,733
67,8943,1016
68,8849,2180
69,9592,1875
70,9170,2099
71,6443,762
72,8644,2212
73,8927,2400
74,9676,2433
75,5759,679
76,6156,688
77,9362,2607
78,8949,2151
79,5459,1172
80,8932,1260
81,7170,1529
82,9643,1988
83,7972,1780
84,9350,1360
85,7067,853
86,7089,1003
87,9751,1895
88,9929,2394
89,6797,2035
90,8967,2440
91,7590,1979
92,8404,1304
93,7740,1281
94,5557,1542
95,6082,1274
96,7356,2073
97,9310,2085
98,8130,953
99,9993,2781
100,8863,1461
101,8493,2131
102,6869,705
103,7980,2347
104,5801,1719
105,9019,1757
106,7593,1638
107,8423,2356
108,6879,1911
109,8996,1461
110,7710,1043
111,9332,2378
112,6158,1773
113,6218,886
114,9769,1866
115,9557,1986
116,5615,1516
117,7819,911
118,7459,824
119,7229,1370
120,9226,2321
121,7820,1647
122,8247,1133
123,8719,1223
124,7125,1442
125,5925,961
126,9489,2229
127,5558,568
128,7391,1839
129,6852,1073
130,7775,1574
131,7139,1167
132,8302,839
133,7711,963
134,5457,653
135,5438,1473
136,8661,2144
137,9886,1920
138,9545,2174
139,7922,2303
140,7005,2023
141,9508,1823
142,9789,1430
143,6055,1788
144,8833,1596
145,9403,1474
146,7513,1427
147,5931,1534
148,8584,1756
149,8574,1665
150,5218,838
151,5285,808
152,7533,1776
153,6710,962
154,6871,1555
155,5428,1369
156,8709,1288
157,5047,586
158,8098,1253
159,6730,855
160,7393,771
161,8085,2369
162,7494,819
163,5217,1171
164,5092,1051
165,6706,789
166,8945,1959
167,9261,2246
168,8661,2503
169,9490,1601
170,9443,1447
171,9353,2698
172,8030,1260
173,5518,1047
174,7858,893
175,9599,1711
176,7920,2055
177,7370,1438
178,7999,1542
179,7815,1024
180,5449,867
181,6555,699
182,6888,1213
183,8450,1090
184,7180,937
185,5149,1402
186,9377,2721
187,7170,742
188,9846,2601
189,9258,2716
190,5057,1325
191,6758,1180
192,8654,1303
193,9544,2103
194,7563,1459
195,6543,1141
196,8787,1940
197,5811,1191
198,7524,1197
199,8993,2667
200,6837,1225
