plant,fixed_cost,auxiliary_flag
1,1443443,
2,312592,
3,1556919,
4,1699170,
5,3442841,
6,346444,
7,1145227,
8,3533107,
9,1578538,
10,2359829,
11,1274509,
12,2754273,
13,268727,
14,3749110,
15,2459105,
16,5555464,
17,2301871,
18,1258602,
19,1448667,
20,145354,
21,1498074,
22,2681361,
23,2329044,
24,337630,
25,2908518,
26,346023,
27,771077,
28,2319782,
29,2477822,
30,2170637,
31,3656759,
32,3707651,
33,1002547,
34,543178,
35,2439255,
36,2703743,
37,662519,
38,2971987,
39,3929018,
40,509490,
41,667910,
42,5203423,
43,958236,
44,2728627,
45,1016349,
46,5174684,
47,295320,
48,473217,
49,4777012,
50,1576643,
51,1301727,
52,701040,
53,251329,
54,142201,
55,1808242,
56,2310223,
57,5308587,
58,4007926,
59,3553692,
60,4328862,
61,2086489,
62,237610,
63,501083,
64,3460852,
65,2578896,
66,933417,
67,3608035,
68,1451259,
69,2852232,
70,1307925,
71,319954,
72,3538071,
73,3847426,
74,1876001,
75,1587573,
76,2871303,
77,3374631,
78,215161,
79,3977796,
80,4407447,
81,553301,
82,4033296,
83,3831836,
84,622646,
85,1138688,
86,4790346,
87,3833406,
88,2165860,
89,447573,
90,2742245,
91,2615134,
92,1133507,
93,2511631,
94,3790190,
95,3970103,
96,3256768,
97,4825639,
98,4560827,
99,1929529,
100,2236982,
