plant,capacity
1,330301
2,82308
3,614491
4,651405
5,862640
6,82140
7,380303
8,1277446
9,505015
10,839157
11,541359
12,977786
13,118095
14,1224635
15,975365
16,1260918
17,783735
18,400205
19,349553
20,43329
21,555946
22,989674
23,604781
24,142690
25,815997
26,105562
27,316917
28,766732
29,630071
30,823729
31,1435985
32,1172909
33,302180
34,175270
35,962207
36,747144
37,154499
38,679604
39,1152904
40,198845
41,172537
42,1495408
43,300306
44,956709
45,371685
46,1429746
47,82431
48,123302
49,1142425
50,365182
51,386398
52,297672
53,58499
54,48962
55,504475
56,723168
57,1382697
58,1134434
59,1363458
60,989076
61,603090
62,84098
63,200225
64,1116157
65,1003416
66,380729
67,1160128
68,518286
69,1026080
70,436244
71,77689
72,830940
73,1225420
74,584517
75,579832
76,942969
77,1357074
78,54933
79,941475
80,1306692
81,129212
82,1220549
83,1116722
84,275957
85,345905
86,1181333
87,1190791
88,602130
89,185695
90,630945
91,700328
92,327066
93,626948
94,1383252
95,1255297
96,1123742
97,1260738
98,1035749
99,513875
100,909374
