plant,fixed_cost,auxiliary_flag
1,350447,
2,2747122,
3,4282013,
4,885245,
5,2141546,
6,622890,
7,2922482,
8,785910,
9,3971527,
10,3472569,
11,1088395,
12,2752722,
13,1844608,
14,1759575,
15,1425796,
16,2499666,
17,4446312,
18,548209,
19,864394,
20,968783,
21,4012207,
22,2381251,
23,5214205,
24,3850374,
25,4443555,
26,1276303,
27,4234966,
28,1183930,
29,4641482,
30,5799023,
31,48526,
32,606809,
33,3670332,
34,3624966,
35,473927,
36,5104666,
37,579638,
38,1827365,
39,2618784,
40,2296210,
41,1928335,
42,281213,
43,2138237,
44,3107662,
45,1466798,
46,638839,
47,1374158,
48,1929725,
49,1785116,
50,3118869,
51,1394230,
52,2769405,
53,743349,
54,3692696,
55,3379010,
56,3151161,
57,4606521,
58,4999227,
59,3545816,
60,650611,
61,3004839,
62,1292767,
63,97846,
64,2390756,
65,3408873,
66,3701432,
67,2007076,
68,1164792,
69,3846802,
70,929602,
71,48758,
72,1181879,
73,1085776,
74,2849008,
75,1054992,
76,4829882,
77,4299086,
78,600132,
79,2129615,
80,2200010,
81,416023,
82,3863730,
83,2444459,
84,1033964,
85,3563421,
86,3519505,
87,1196596,
88,1466086,
89,5024895,
90,3443778,
91,1423504,
92,469541,
93,4274425,
94,471440,
95,3666661,
96,1859064,
97,1004343,
98,633486,
99,847725,
100,3908846,
