market,mu,sd
1,9046,2480
2,6303,1658
3,6100,1611
4,9427,2332
5,9336,1384
6,6988,1762
7,7081,1773
8,6096,1366
9,5518,1608
10,8189,1734
11,6132,1269
12,5799,879
13,7629,977
14,6069,869
15,6469,1572
16,6674,1140
17,6906,1521
18,5785,645
19,9655,2393
20,9375,2023
21,7942,1844
22,8499,947
23,8001,836
24,5502,1577
25,6616,1809
26,7900,1321
27,5623,1182
28,9494,1454
29,5370,749
30,6969,1994
31,7927,1755
32,7355,1071
33,7514,1763
34,7267,2073
35,5380,1014
36,8906,1973
37,8598,1016
38,5840,1387
39,6851,735
40,9697,1818
41,6569,1582
42,6573,842
43,9393,2406
44,5489,1172
45,6245,1579
46,9233,2381
47,5725,1014
48,8032,1086
49,5460,859
50,9262,1596
51,9852,1388
52,7283,1265
53,6433,1242
54,5716,641
55,8868,1291
56,6375,1820
57,7977,1808
58,5350,1501
59,5430,777
60,6290,1399
61,7797,1841
62,6324,897
63,8336,964
64,5736,1109
65,9893,2360
66,8745,1049
67,6669,1737
68,7104,862
69,6471,1572
70,6779,1968
71,5946,1391
72,6898,785
73,9094,2028
74,8182,2429
75,7633,1168
76,8814,997
77,8601,2425
78,5251,743
79,7094,1591
80,6310,895
81,6024,1544
82,7854,1492
83,7917,1257
84,8581,1281
85,6521,1020
86,5703,1323
87,9793,2500
88,6963,1292
89,5416,581
90,6762,2010
91,7048,739
92,9436,2545
93,5204,1135
94,8158,2007
95,6115,1405
96,6104,758
97,8692,1062
98,6568,1553
99,8411,1642
100,7067,981
101,6840,1325
102,7115,992
103,7553,1382
104,9150,2260
105,6029,1533
106,5413,1039
107,9484,2487
108,5842,1073
109,9939,2713
110,5486,847
111,6862,1254
112,9882,2353
113,9959,1869
114,5570,826
115,8528,1163
116,9353,1695
117,5410,767
118,6152,1150
119,6300,1269
120,8157,2440
121,5171,1181
122,7773,2053
123,8651,2337
124,5089,792
125,8884,2630
126,5468,1421
127,5777,1625
128,5918,1461
129,8905,2638
130,7398,1859
131,8534,1740
132,5410,932
133,8515,1016
134,7350,1212
135,6005,1784
136,5175,623
137,8041,1369
138,7329,1756
139,6380,978
140,8723,1643
141,7203,1621
142,8397,1540
143,7542,2007
144,5410,1603
145,6745,1168
146,7659,1756
147,7119,954
148,9260,1095
149,7918,2215
150,7405,1144
151,9890,1225
152,7248,1210
153,6981,1142
154,5278,1037
155,6133,1292
156,7041,887
157,5441,976
158,7255,1155
159,6055,979
160,6681,1225
161,8372,1884
162,7745,1525
163,6503,1577
164,5737,588
165,9673,1115
166,8682,2009
167,8062,2406
168,8722,1349
169,6192,1713
170,9402,2701
171,5916,1320
172,6404,785
173,6414,1797
174,8609,2121
175,5153,893
176,8118,1052
177,5458,561
178,8297,1872
179,8014,2226
180,5741,769
181,5857,958
182,7727,1684
183,7745,1600
184,6342,1294
185,9387,1063
186,6614,1724
187,6780,1216
188,7604,1184
189,6733,747
190,7421,1718
191,8903,1096
192,9131,1301
193,5269,1570
194,7863,1066
195,9109,2270
196,8991,1373
197,9796,2389
198,5503,867
199,7080,1430
200,6861,1655
