market,mu,sd
1,9323,2067
2,9593,1762
3,6690,1258
4,7927,1398
5,8304,1799
6,8132,1342
7,8076,1254
8,7995,1733
9,5794,1200
10,7658,1919
11,9638,1251
12,7329,956
13,5677,1653
14,6977,2011
15,8132,2388
16,8082,1730
17,7801,1949
18,9576,2236
19,8229,1189
20,5983,771
21,6649,1259
22,6785,1611
23,6683,1364
24,8707,2545
25,7923,1241
26,6284,1378
27,5063,927
28,6539,882
29,5804,821
30,6669,1556
31,8934,1181
32,5233,1558
33,5686,1233
34,8770,1467
35,9789,2714
36,5756,1210
37,9624,2029
38,9029,2206
39,5884,962
40,5042,977
41,7156,1783
42,7729,1447
43,6340,651
44,7717,1464
45,6558,1758
46,7223,796
47,6101,1757
48,7713,2175
49,6367,988
50,5674,1504
51,5362,1244
52,9267,2652
53,7582,1961
54,6958,2054
55,9367,1328
56,7321,1642
57,8446,2044
58,5345,963
59,6758,1414
60,8572,1498
61,8523,1389
62,8974,2405
63,8388,2142
64,5572,1536
65,9427,1067
66,8472,1257
67,8918,1722
68,5295,545
69,8599,1913
70,7384,1078
71,8598,2564
72,7269,1962
73,8502,1939
74,9943,2769
75,9027,2551
76,5007,850
77,7209,1523
78,9228,2597
79,6438,996
80,6498,867
81,6746,1261
82,8564,1309
83,8069,1425
84,6267,1086
85,7826,1155
86,8535,2474
87,8376,1288
88,8766,1439
89,9948,2179
90,7841,1945
91,9751,2892
92,5420,1207
93,8803,2088
94,5675,621
95,5124,1091
96,9071,2489
97,5725,1237
98,6605,1978
99,5046,1121
100,6621,1617
