plant,capacity
1,355641
2,203587
3,497012
4,681249
5,604185
6,166784
7,75585
8,266900
9,58917
10,630437
11,22434
12,526948
13,720677
14,519260
15,536183
16,349322
17,387998
18,92908
19,213658
20,53560
21,656030
22,163564
23,360850
24,393937
25,200140
26,395750
27,187581
28,117299
29,397184
30,319068
31,262087
32,384992
33,495164
34,184729
35,301244
36,650315
37,689323
38,270648
39,626914
40,357973
41,625626
42,189882
43,255696
44,172064
45,679527
46,240119
47,330015
48,228404
49,366124
50,389744
